experiment,label,frame,time_s,joint_linear_ke,bend_m,q1_m,q2_m,current_residual_m,max_residual_m,drive_stroke_m
control,gravity 1g,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
control,gravity 1g,30,0.50000000,100000.00000000,0.0090911636,0.0075034378,0.0019817310,0.0015557520,0.0018442729,-0.0000000076
control,gravity 1g,60,1.00000000,100000.00000000,0.0178160042,0.0162318628,0.0019687174,0.0015556812,0.0018442729,-0.0000000076
control,gravity 1g,120,2.00000000,100000.00000000,0.0349158153,0.0333223715,0.0019642354,0.0015789214,0.0018442729,-0.0000000076
control,gravity 1g,240,4.00000000,100000.00000000,0.0677844506,0.0661769137,0.0019522782,0.0016423980,0.0018442729,-0.0000000076
control,gravity 1g,480,8.00000000,100000.00000000,0.1288948256,0.1272723228,0.0019210954,0.0017998337,0.0018442729,-0.0000000076
control,gravity 1g,900,15.00000000,100000.00000000,0.2240355377,0.2224123925,0.0018576860,0.0020606114,0.0020606114,-0.0000000076
control,gravity 1g,1800,30.00000000,100000.00000000,0.3921995524,0.3906054795,0.0017474304,0.0023581226,0.0023581226,-0.0000000076
control,gravity 1g,2700,45.00000000,100000.00000000,0.5247666125,0.5231819749,0.0017120034,0.0023730726,0.0023912642,-0.0000000076
control,gravity 1g,3600,60.00000000,100000.00000000,0.6279158341,0.6263063550,0.0017444892,0.0022549211,0.0023912642,-0.0000000076
control,gravity 0g,0,0.00000000,100000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
control,gravity 0g,30,0.50000000,100000.00000000,0.0000001148,-0.0000000689,-0.0000000417,0.0000000373,0.0000000876,-0.0000000076
control,gravity 0g,60,1.00000000,100000.00000000,0.0000000300,-0.0000000155,-0.0000000000,0.0000000379,0.0000000876,-0.0000000076
control,gravity 0g,120,2.00000000,100000.00000000,0.0000000825,-0.0000000770,-0.0000000041,0.0000000465,0.0000000876,-0.0000000076
control,gravity 0g,240,4.00000000,100000.00000000,0.0000000285,0.0000000123,-0.0000000000,0.0000000440,0.0000000876,-0.0000000076
iterations_adaptive,4 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,4 iterations,30,0.50000000,3000000.00000000,0.0083871410,0.0053037675,0.0040166741,0.0027397462,0.0049448152,-0.0000000076
iterations_adaptive,4 iterations,60,1.00000000,3000000.00000000,0.0142502062,0.0109090814,0.0043443451,0.0027036189,0.0049448152,-0.0000000076
iterations_adaptive,4 iterations,120,2.00000000,3000000.00000000,0.0210715589,0.0178179499,0.0042155166,0.0024714680,0.0049448152,-0.0000000076
iterations_adaptive,4 iterations,240,4.00000000,3000000.00000000,0.0266218000,0.0233832467,0.0041864682,0.0024079949,0.0049448152,-0.0000000076
iterations_adaptive,4 iterations,480,8.00000000,3000000.00000000,0.0289594153,0.0257226285,0.0041809930,0.0024039526,0.0049448152,-0.0000000076
iterations_adaptive,8 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,8 iterations,30,0.50000000,3000000.00000000,0.0052423530,0.0026910212,0.0031917873,0.0019373623,0.0030193305,-0.0000000076
iterations_adaptive,8 iterations,60,1.00000000,3000000.00000000,0.0101039336,0.0076528601,0.0030593262,0.0016776674,0.0030193305,-0.0000000076
iterations_adaptive,8 iterations,120,2.00000000,3000000.00000000,0.0191164078,0.0166942235,0.0030093684,0.0015460394,0.0030193305,-0.0000000076
iterations_adaptive,8 iterations,240,4.00000000,3000000.00000000,0.0347502640,0.0323428474,0.0029693425,0.0015117885,0.0030193305,-0.0000000076
iterations_adaptive,8 iterations,480,8.00000000,3000000.00000000,0.0584450340,0.0560495444,0.0029236975,0.0015329451,0.0030193305,-0.0000000076
iterations_adaptive,12 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,12 iterations,30,0.50000000,3000000.00000000,0.0056458687,0.0035526864,0.0026100571,0.0015002664,0.0023382308,-0.0000000076
iterations_adaptive,12 iterations,60,1.00000000,3000000.00000000,0.0111457594,0.0091111977,0.0025277953,0.0012989603,0.0023382308,-0.0000000076
iterations_adaptive,12 iterations,120,2.00000000,3000000.00000000,0.0220890704,0.0200725123,0.0024885174,0.0011943176,0.0023382308,-0.0000000076
iterations_adaptive,12 iterations,240,4.00000000,3000000.00000000,0.0430816813,0.0410736613,0.0024480582,0.0011800223,0.0023382308,-0.0000000076
iterations_adaptive,12 iterations,480,8.00000000,3000000.00000000,0.0812062271,0.0792117342,0.0023789126,0.0012372215,0.0023382308,-0.0000000076
iterations_adaptive,18 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,18 iterations,30,0.50000000,3000000.00000000,0.0074002331,0.0056144092,0.0022239254,0.0011908602,0.0018880476,-0.0000000076
iterations_adaptive,18 iterations,60,1.00000000,3000000.00000000,0.0146209479,0.0128602032,0.0021799307,0.0010295989,0.0018880476,-0.0000000076
iterations_adaptive,18 iterations,120,2.00000000,3000000.00000000,0.0289353519,0.0271797795,0.0021497165,0.0009505481,0.0018880476,-0.0000000076
iterations_adaptive,18 iterations,240,4.00000000,3000000.00000000,0.0565152838,0.0547575578,0.0021087313,0.0009651325,0.0018880476,-0.0000000076
iterations_adaptive,18 iterations,480,8.00000000,3000000.00000000,0.1075431777,0.1057924852,0.0020171520,0.0010805755,0.0018880476,-0.0000000076
iterations_adaptive,24 iterations,0,0.00000000,3000000.00000000,0.0000000238,0.0000000000,0.0000000000,0.0000000642,0.0000000000,-0.0000000076
iterations_adaptive,24 iterations,30,0.50000000,3000000.00000000,0.0083380059,0.0066711060,0.0020736970,0.0010355068,0.0016888402,-0.0000000076
iterations_adaptive,24 iterations,60,1.00000000,3000000.00000000,0.0164153042,0.0147583848,0.0020459229,0.0008914341,0.0016888402,-0.0000000076
